 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,cell,channel,XMnm,YMnm,NND_other,NNI_other,NND_self,NNI_self,ball_counts,ball_selfcounts
180,d2c2_fullz_trek1.tif:0310-0739,0.014,78.703,26.835,56,33,132,11.09,4.654,11.091,4.656,0.465,A,TREK,11091.0,4656.0,164.57521077003062,381,359.5177325251148,480,5,4
181,d2c2_fullz_trek1.tif:0548-0669,0.011,79.02,39.801,42,22,171,10.037,8.234,10.038,8.234,0.42,A,TREK,10038.0,8234.0,210.98341167020692,461,264.0075756488817,379,6,11
182,d2c2_fullz_trek1.tif:0349-0270,0.014,79.159,34.393,44,27,153,4.051,5.236,4.047,5.239,0.448,A,TREK,4046.9999999999995,5239.0,154.25952158618975,680,354.53913747286083,369,7,7
183,d2c2_fullz_trek1.tif:0244-0538,0.013,80.19,38.19,43,28,167,8.08,3.662,8.078,3.663,0.432,A,TREK,8077.999999999999,3663.0,234.4397577204009,258,193.59752064528024,36,8,6
184,d2c2_fullz_trek1.tif:0067-0704,0.01,80.261,35.096,92,0,147,10.568,1.011,10.572,1.008,0.397,A,TREK,10572.0,1008.0,323.9753077010654,345,379.81706122816547,592,1,2
185,d2c2_fullz_trek1.tif:0571-1059,0.013,80.263,39.246,42,27,169,15.892,8.572,15.893,8.572,0.441,A,TREK,15893.0,8572.0,211.81123671797963,213,399.56601457080905,474,2,4
186,d2c2_fullz_trek1.tif:0024-0569,0.014,80.391,31.914,57,30,140,8.544,0.362,8.543,0.361,0.46,A,TREK,8543.0,361.0,15.0,747,201.8539075668341,331,1,3
187,d2c2_fullz_trek1.tif:0716-0740,0.018,80.654,27.339,84,23,138,11.112,10.748,11.107,10.75,0.566,A,TREK,11107.0,10750.0,69.3757882838098,834,407.65303874741323,106,5,3
188,d2c2_fullz_trek1.tif:0432-0881,0.011,80.8,40.502,37,33,174,13.227,6.497,13.227,6.496,0.405,A,TREK,13227.0,6496.0,388.9588667198628,614,234.92339176846565,201,1,3
189,d2c2_fullz_trek1.tif:0963-0407,0.02,81.069,29.517,45,30,145,6.103,14.448,6.102,14.448,0.546,A,TREK,6102.0,14448.0,70.09279563550022,40,280.9216972752372,313,4,6
190,d2c2_fullz_trek1.tif:0562-0824,0.011,81.1,29.364,32,32,140,12.371,8.436,12.369,8.436,0.418,A,TREK,12369.0,8436.0,320.36229490999716,329,166.1715980545412,394,4,6
191,d2c2_fullz_trek1.tif:0702-0136,0.016,81.229,33.155,94,28,154,2.045,10.537,2.04,10.538,0.465,A,TREK,2040.0,10538.0,19.026297590440436,669,161.07762104029226,225,5,8
192,d2c2_fullz_trek1.tif:0598-0666,0.013,81.825,30.981,45,31,151,9.995,8.969,9.994,8.968,0.439,A,TREK,9994.0,8968.0,262.1907702418222,182,142.00352108310554,587,8,11
193,d2c2_fullz_trek1.tif:0863-0469,0.015,82.123,32.074,49,33,151,7.036,12.963,7.037,12.963,0.462,A,TREK,7037.0,12963.0,118.68024266911489,490,395.98232283777514,542,3,6
194,d2c2_fullz_trek1.tif:0504-0448,0.016,82.886,36.748,51,24,167,6.721,7.567,6.721,7.567,0.47,A,TREK,6721.0,7567.0,47.75981574503821,838,257.2411320143029,595,4,6
195,d2c2_fullz_trek1.tif:0625-0480,0.013,83.271,32.831,91,29,152,7.209,9.386,7.207,9.389,0.442,A,TREK,7207.0,9389.0,10.63014581273465,707,324.8261073251348,839,7,5
196,d2c2_fullz_trek1.tif:0451-0143,0.016,83.271,30.138,68,31,148,2.149,6.776,2.151,6.776,0.484,A,TREK,2151.0,6776.0,148.69095466772686,780,236.48467180770933,415,9,9
197,d2c2_fullz_trek1.tif:0281-0591,0.019,83.306,30.156,63,26,151,8.882,4.225,8.887,4.227,0.525,A,TREK,8887.0,4227.0,58.240879114244144,529,159.62455951387932,383,6,8
198,d2c2_fullz_trek1.tif:0256-0091,0.013,83.356,32.189,41,36,151,1.364,3.844,1.366,3.844,0.444,A,TREK,1366.0,3844.0,193.82982226685345,452,269.4011878221772,254,1,4
199,d2c2_fullz_trek1.tif:0752-0440,0.014,83.562,34.459,65,30,152,6.605,11.299,6.601,11.297,0.464,A,TREK,6601.0,11297.0,159.13830462839547,660,205.05608988762074,738,8,8
200,d2c2_fullz_trek1.tif:0683-0486,0.011,83.708,33.637,53,28,152,7.306,10.264,7.304,10.265,0.404,A,TREK,7304.0,10265.0,93.96275858019496,249,157.16551784663199,382,10,7
201,d2c2_fullz_trek1.tif:0688-0597,0.016,83.971,27.501,53,37,145,8.962,10.325,8.958,10.326,0.493,A,TREK,8958.0,10326.0,18.439088914585774,837,205.36065835500236,440,4,8
202,d2c2_fullz_trek1.tif:0438-0867,0.011,84.098,34.429,128,35,156,13.01,6.584,13.01,6.586,0.422,A,TREK,13010.0,6586.0,163.1502375113196,614,234.92339176846565,187,4,3
203,d2c2_fullz_trek1.tif:0587-0330,0.013,84.288,29.593,38,38,135,4.958,8.81,4.963,8.817,0.436,A,TREK,4963.0,8817.0,165.77394246382633,778,121.69634341261039,459,10,9
204,d2c2_fullz_trek1.tif:0588-0401,0.011,84.449,47.206,36,24,194,6.028,8.824,6.028,8.824,0.382,A,TREK,6028.0,8824.0,327.0749149659753,22,433.0415684434925,812,6,6
205,d2c2_fullz_trek1.tif:0703-0926,0.012,84.836,42.057,38,31,184,13.903,10.55,13.905,10.552,0.425,A,TREK,13905.0,10552.0,156.52475842498527,36,165.07574019219177,219,5,9
206,d2c2_fullz_trek1.tif:0324-0441,0.012,85.058,38.199,36,23,163,6.617,4.869,6.618,4.871,0.435,A,TREK,6618.0,4871.0,389.48684188300894,800,255.3507391804457,240,2,7
207,d2c2_fullz_trek1.tif:0605-1119,0.016,85.551,45.715,24,20,194,16.803,9.076,16.798,9.076,0.462,A,TREK,16798.0,9076.0,283.5912551543154,666,160.90059042775448,771,4,8
208,d2c2_fullz_trek1.tif:0345-0894,0.011,85.569,47.322,35,20,199,13.418,5.184,13.418,5.185,0.408,A,TREK,13418.0,5185.0,27.0,341,473.2546883021868,232,4,3
209,d2c2_fullz_trek1.tif:0635-0387,0.014,86.167,40.155,55,30,182,5.807,9.534,5.81,9.534,0.435,A,TREK,5810.0,9534.0,210.7225664232476,344,307.3271872125862,886,6,9
210,d2c2_fullz_trek1.tif:0153-0756,0.012,86.17,45.54,41,28,186,11.351,2.295,11.35,2.298,0.421,A,TREK,11350.0,2298.0,206.18438350175796,59,433.9700450491946,539,3,2
211,d2c2_fullz_trek1.tif:0541-0420,0.011,86.255,51.921,48,18,213,6.317,8.118,6.316,8.119,0.397,A,TREK,6316.0,8119.0,71.78439941937216,580,305.9836596944353,688,6,7
212,d2c2_fullz_trek1.tif:0567-0462,0.01,86.279,43.226,52,29,187,6.94,8.517,6.94,8.517,0.385,A,TREK,6940.0,8517.0,164.77863939236784,494,180.88670487352022,80,8,7
213,d2c2_fullz_trek1.tif:0258-0560,0.012,86.365,38.93,39,37,172,8.416,3.876,8.415,3.877,0.431,A,TREK,8415.0,3877.0,300.30817504690003,799,328.1843993854677,685,7,8
214,d2c2_fullz_trek1.tif:0515-0659,0.012,86.836,36.617,57,37,168,9.883,7.727,9.883,7.727,0.44,A,TREK,9883.0,7727.0,329.02431521089744,797,258.8532402733255,687,5,12
215,d2c2_fullz_trek1.tif:0362-0174,0.014,86.871,43.655,48,31,202,2.608,5.441,2.607,5.445,0.45,A,TREK,2607.0,5445.0,54.48853090330111,322,257.0992026436488,612,7,7
216,d2c2_fullz_trek1.tif:0634-1105,0.011,86.941,38.955,50,30,173,16.591,9.528,16.592,9.528,0.412,A,TREK,16592.0,9528.0,222.3083444227859,113,219.49259668608235,348,6,10
217,d2c2_fullz_trek1.tif:0187-0549,0.021,87.064,31.356,38,21,147,8.251,2.815,8.252,2.813,0.571,A,TREK,8252.0,2813.0,238.04621400055913,57,172.51376756653366,425,6,7
218,d2c2_fullz_trek1.tif:0517-0686,0.017,87.455,35.971,77,40,183,10.303,7.764,10.302,7.763,0.499,A,TREK,10302.0,7763.0,312.8993448379207,168,177.61193653580833,161,3,13
219,d2c2_fullz_trek1.tif:0127-0384,0.011,87.706,46.372,59,26,198,5.772,1.918,5.771,1.916,0.41,A,TREK,5771.0,1916.0,307.67515336796373,455,231.32012450281968,412,7,7
220,d2c2_fullz_trek1.tif:0692-0923,0.012,87.849,40.044,85,32,173,13.852,10.395,13.854,10.395,0.43,A,TREK,13854.0,10395.0,79.05694150420949,36,165.07574019219177,204,7,8
221,d2c2_fullz_trek1.tif:0394-0468,0.012,87.906,42.521,48,31,184,7.036,5.918,7.037,5.917,0.426,A,TREK,7037.0,5917.0,188.2153022471871,204,220.43593173527768,470,4,11
222,d2c2_fullz_trek1.tif:0553-1146,0.011,87.96,39.897,47,39,176,17.199,8.309,17.201,8.312,0.402,A,TREK,17201.0,8312.0,296.44561052577586,63,216.31689716709604,69,2,6
223,d2c2_fullz_trek1.tif:0566-0320,0.014,87.983,43.988,57,27,197,4.809,8.498,4.809,8.497,0.449,A,TREK,4809.0,8497.0,73.54590403278758,434,148.36778626103444,561,11,9
224,d2c2_fullz_trek1.tif:0204-0515,0.011,88.0,45.441,42,25,191,7.726,3.071,7.726,3.072,0.418,A,TREK,7726.0,3072.0,354.7463882832354,57,270.4958410031474,170,4,5
225,d2c2_fullz_trek1.tif:0492-1073,0.017,88.547,39.374,38,36,182,16.105,7.389,16.104,7.392,0.494,A,TREK,16104.0,7392.0,198.04039991880444,716,220.6399782451041,235,3,6
